x,y,theta,stamp
-0.8169113473953014,-3.0602242462350966,0.016595965308746193,1465814000000
-0.8169113478451198,-3.060224246243926,0.01659596622632697,1465848000000
-0.816911337817028,-3.060224246168066,0.016595967287823726,1465882000000
-0.8169113221140532,-3.060224245898028,0.016595968337082125,1465916000000
-0.816911301567438,-3.0602242455474538,0.016595969441199423,1465950000000
-0.8169112883597852,-3.0602242453580772,0.016595970598846953,1465984000000
-0.8169112964521429,-3.060224245446176,0.016595971408935265,1466018000000
-0.8169113035972551,-3.0602242456211526,0.01659597218637594,1466052000000
-0.8169113193296841,-3.060224245794524,0.01659597293641358,1466086000000
-0.8169113201459872,-3.060224245810062,0.01659597386173961,1466120000000
-0.816911310494635,-3.0602242457408497,0.016595974920106022,1466154000000
-0.8169112951623924,-3.0602242454772974,0.01659597596004999,1466188000000
-0.8169112850426838,-3.060224245313986,0.01659597701340932,1466222000000
-0.8169112730799263,-3.0602242451261095,0.016595978068462997,1466256000000
-0.8169112856702189,-3.060224245259916,0.016595978861032125,1466290000000
-0.8169112959950328,-3.0602242455277238,0.016595979602346194,1466324000000
-0.8169113120467852,-3.0602242457064297,0.01659598039350692,1466358000000
-0.8169113131629256,-3.0602242457267703,0.016595981302488745,1466392000000
-0.8169113038094526,-3.060224245662352,0.016595982336550772,1466426000000
-0.81691128877674,-3.0602242454036364,0.01659598338576887,1466460000000
-0.8169112688972007,-3.0602242450643216,0.016595984493391103,1466494000000
-0.8169112563539828,-3.0602242448861423,0.01659598563866053,1466528000000
-0.8169112651067758,-3.060224244985352,0.01659598643837824,1466562000000
-0.8169112625343048,-3.060224244980621,0.016595987297080197,1466596000000
-0.8169112833399069,-3.0602242452585435,0.01659598804556015,1466630000000
-0.8169112848532313,-3.060224245282324,0.016595988943373777,1466664000000
-0.8169112759020272,-3.060224245225045,0.016595989964309568,1466698000000
-0.8169112612663856,-3.0602242449732673,0.016595991016552337,1466732000000
-0.8169112518398925,-3.060224244821666,0.016595992075442288,1466766000000
-0.8169112405675663,-3.0602242446454304,0.016595993110429922,1466800000000
-0.8169112538443617,-3.060224244790789,0.016595993892982823,1466834000000
-0.8169112648529347,-3.0602242450701005,0.016595994635839478,1466868000000
-0.8169112815848267,-3.060224245260226,0.016595995420186943,1466902000000
-0.8169112833783618,-3.0602242452919293,0.01659599631810458,1466936000000
-0.8169112746992933,-3.060224245238811,0.01659599734678405,1466970000000
-0.8169112603377533,-3.060224244991328,0.016595998391577726,1467004000000
-0.816911241126503,-3.0602242446631855,0.016595999491458017,1467038000000
-0.8169112233085631,-3.0602242443034036,0.01659600066469655,1467072000000
-0.8169112194009226,-3.0602242443108043,0.01659600161476216,1467106000000
-0.8169112188156649,-3.0602242443201044,0.016596002485375957,1467140000000
-0.8169112403457898,-3.06022424459996,0.016596003179793536,1467174000000
-0.8169112563282416,-3.0602242449641146,0.01659600395113066,1467208000000
-0.816911271797046,-3.060224245200024,0.016596004691476797,1467242000000
-0.8169112769091502,-3.0602242452556028,0.016596005568573675,1467276000000
-0.816911271697924,-3.060224245107874,0.016596006575916426,1467310000000
-0.8169112557233627,-3.0602242449127726,0.016596007675219373,1467344000000
-0.8169112312297344,-3.0602242445473906,0.016596008801357233,1467378000000
-0.8169112137521357,-3.060224244265381,0.01659600993005337,1467412000000
-0.8169111955767416,-3.0602242439618488,0.016596011058276544,1467446000000
-0.8169112038417474,-3.0602242439924803,0.016596011857763646,1467480000000
-0.8169112154646367,-3.060224244303593,0.01659601262923529,1467514000000
-0.8169112284321705,-3.060224244488356,0.016596013468199725,1467548000000
-0.8169112405643425,-3.060224244728692,0.016596014208723787,1467582000000
-0.8169112475585798,-3.0602242448441057,0.016596015036543826,1467616000000
-0.8169112455277822,-3.060224244790317,0.016596016023465467,1467650000000
-0.8169112332056694,-3.0602242445370074,0.016596017082208665,1467684000000
-0.8169112103969721,-3.0602242441521468,0.016596018220808768,1467718000000
-0.8169111849967088,-3.0602242438249374,0.01659601939033352,1467752000000
-0.816911178381448,-3.0602242436693334,0.016596020461433193,1467786000000
-0.8169111858624152,-3.060224243817278,0.01659602123125298,1467820000000
-0.8169111938053387,-3.0602242439842797,0.01659602203580884,1467854000000
-0.8169112174082079,-3.060224244311446,0.01659602276291567,1467888000000
-0.8169112280444281,-3.060224244516837,0.01659602356428467,1467922000000
-0.8169112298113859,-3.0602242445961356,0.016596024431349696,1467956000000
-0.8169112270108069,-3.0602242445465904,0.016596025391831214,1467990000000
-0.8169112177760955,-3.060224244380418,0.01659602642555477,1468024000000
-0.8169111983225497,-3.0602242440204535,0.01659602752961039,1468058000000
-0.8169111713028064,-3.0602242435488813,0.016596028757256496,1468092000000
-0.8169111610599425,-3.060224243453571,0.01659602981959882,1468126000000
-0.8169111514935928,-3.0602242433059232,0.016596030763112724,1468160000000
-0.8169111664842991,-3.060224243480599,0.016596031538876243,1468194000000
-0.8169111792049777,-3.060224243789124,0.016596032304736438,1468228000000
-0.8169111976347572,-3.060224244008143,0.01659603305816066,1468262000000
-0.8169112011220405,-3.0602242440686274,0.016596033922095608,1468296000000
-0.8169111941292578,-3.0602242440441443,0.016596034947249143,1468330000000
-0.81691118144262,-3.060224243825058,0.016596035982708812,1468364000000
-0.8169111638985691,-3.0602242435251448,0.016596037058017418,1468398000000
-0.8169111477404168,-3.0602242431934306,0.01659603821369991,1468432000000
-0.8169111454854411,-3.060224243228774,0.016596039152906656,1468466000000
-0.8169111465457953,-3.0602242432658193,0.016596040007139216,1468500000000
-0.8169111697132642,-3.0602242435732676,0.016596040682931353,1468534000000
-0.8169111735677813,-3.0602242436368505,0.016596041552169396,1468568000000
-0.8169111669504184,-3.060224243619061,0.016596042579505046,1468602000000
-0.8169111546341316,-3.060224243406465,0.016596043605636407,1468636000000
-0.8169111374580519,-3.060224243112984,0.01659604467621115,1468670000000
-0.8169111276083005,-3.0602242429804183,0.01659604579695574,1468704000000
-0.8169111390371797,-3.0602242431248787,0.016596046576749946,1468738000000
-0.8169111391322341,-3.060224243165206,0.01659604740740974,1468772000000
-0.8169111625901775,-3.060224243487872,0.01659604812749519,1468806000000
-0.8169111667456939,-3.0602242435561715,0.016596049001519536,1468840000000
-0.8169111604251837,-3.0602242435431624,0.01659604999786853,1468874000000
-0.8169111484075602,-3.0602242433353886,0.016596051023330102,1468908000000
-0.816911131529415,-3.0602242430467235,0.01659605210541644,1468942000000
-0.8169111160340791,-3.060224242726192,0.016596053253411736,1468976000000
-0.8169111144389704,-3.060224242772657,0.016596054179334404,1469010000000
-0.8169111161563009,-3.0602242428207447,0.016596055029594815,1469044000000
-0.8169111338248036,-3.060224243075499,0.016596055775030375,1469078000000
-0.8169111385562003,-3.0602242431133213,0.0165960566461569,1469112000000
-0.8169111326344042,-3.0602242431075752,0.016596057625608895,1469146000000
-0.8169111210138462,-3.0602242429067554,0.016596058649594285,1469180000000
-0.816911104530324,-3.0602242426249826,0.016596059735051023,1469214000000
-0.8169110953704825,-3.0602242425040656,0.01659606084138079,1469248000000
-0.8169111074848531,-3.0602242426600754,0.016596061604677314,1469282000000
-0.8169111082631982,-3.060224242711906,0.016596062435409432,1469316000000
-0.8169111324005657,-3.0602242430459943,0.0165960631526439,1469350000000
-0.8169111372328672,-3.0602242431256617,0.016596064015450704,1469384000000
-0.816911131586196,-3.060224243123951,0.016596065004303433,1469418000000
-0.8169111202391803,-3.0602242429274122,0.016596066025977907,1469452000000
-0.8169111040287841,-3.0602242426499213,0.016596067101355277,1469486000000
-0.8169110860756135,-3.06022424232514,0.01659606824393695,1469520000000
-0.8169110720159398,-3.060224242142535,0.016596069318087027,1469554000000
-0.8169110709809911,-3.0602242421299684,0.016596070243659826,1469588000000
-0.8169110910851838,-3.0602242424207495,0.01659607092397121,1469622000000
-0.8169110997033584,-3.060224242619116,0.01659607174838146,1469656000000
-0.8169111227963837,-3.060224242985085,0.016596072431174544,1469690000000
-0.8169111309424637,-3.0602242430923843,0.01659607325447434,1469724000000
-0.8169111287598191,-3.060224242995915,0.016596074229180947,1469758000000
-0.8169111158041816,-3.0602242428518562,0.016596075313892913,1469792000000
-0.8169110943121992,-3.060224242537147,0.016596076409426817,1469826000000
-0.8169110683707813,-3.060224242096537,0.016596077560526945,1469860000000
-0.816911056691429,-3.0602242418789443,0.016596078722016457,1469894000000
-0.8169110592042212,-3.0602242419428434,0.016596079566168008,1469928000000
-0.8169110609147048,-3.06022424200311,0.016596080389093663,1469962000000
-0.8169110809842421,-3.0602242422689985,0.016596081145565298,1469996000000
-0.8169110917145361,-3.0602242425169384,0.016596081949242076,1470030000000
-0.8169111017364098,-3.0602242426831343,0.016596082727776077,1470064000000
-0.8169111027344157,-3.060224242680651,0.01659608367214069,1470098000000
-0.8169110934274759,-3.0602242424783057,0.01659608471631099,1470132000000
-0.8169110736216167,-3.06022424214415,0.016596085829780453,1470166000000
-0.8169110434222202,-3.0602242417272016,0.016596087044607036,1470200000000
-0.8169110400583548,-3.060224241606936,0.016596088069273734,1470234000000
-0.8169110372023897,-3.0602242416401917,0.01659608896336391,1470268000000
-0.8169110418531207,-3.060224241720092,0.016596089809346667,1470302000000
-0.8169110655877351,-3.060224242115712,0.016596090495092582,1470336000000
-0.816911079351508,-3.0602242423071577,0.016596091302614278,1470370000000
-0.8169110841504386,-3.0602242424378447,0.016596092118767232,1470404000000
-0.8169110843784954,-3.0602242424395927,0.016596093039815966,1470438000000
-0.8169110781594581,-3.060224242324399,0.016596094059101767,1470472000000
-0.8169110617074252,-3.060224242015114,0.0165960951362764,1470506000000
-0.8169110350308508,-3.0602242415047662,0.016596096313644476,1470540000000
-0.8169110142898277,-3.06022424128469,0.016596097488655655,1470574000000
-0.8169110069066043,-3.0602242411741196,0.016596098509893166,1470608000000
-0.8169110207288589,-3.0602242413595597,0.016596099230391397,1470642000000
-0.8169110232232912,-3.060224241440691,0.016596100089209434,1470676000000
-0.816911049059025,-3.060224241803708,0.016596100794152007,1470710000000
-0.8169110555866987,-3.060224241912215,0.01659610161556065,1470744000000
-0.8169110516282271,-3.0602242419391827,0.016596102592510577,1470778000000
-0.8169110419577961,-3.0602242417710896,0.016596103611012266,1470812000000
-0.8169110274163245,-3.0602242415218783,0.01659610466490357,1470846000000
-0.8169110111243828,-3.0602242412252076,0.016596105785794006,1470880000000
-0.816910998719684,-3.060224241070578,0.016596106848422824,1470914000000
-0.8169109993321281,-3.0602242410858267,0.016596107760065273,1470948000000
-0.8169110136175883,-3.060224241326031,0.0165961084678038,1470982000000
-0.8169110222066344,-3.0602242413815444,0.016596109330327145,1471016000000
-0.8169110186606212,-3.060224241416228,0.016596110278755887,1471050000000
-0.8169110094120089,-3.060224241255657,0.016596111273949193,1471084000000
-0.8169109952900615,-3.0602242410138727,0.01659611234285651,1471118000000
-0.8169109885817678,-3.0602242408764795,0.016596113411113077,1471152000000
-0.8169109896717831,-3.06022424093425,0.016596114271067997,1471186000000
-0.816910986396911,-3.060224240903061,0.016596115225201696,1471220000000
-0.8169110010712336,-3.0602242411493945,0.016596115992899493,1471254000000
-0.8169110100329553,-3.0602242412110945,0.016596116818861303,1471288000000
-0.8169110068560498,-3.0602242412518708,0.016596117736629883,1471322000000
-0.8169109979770929,-3.060224241097416,0.016596118752705755,1471356000000
-0.8169109842233154,-3.060224240861723,0.0165961198265197,1471390000000
-0.8169109718378157,-3.060224240593843,0.016596120928051933,1471424000000
-0.816910973338705,-3.0602242406926914,0.016596121816482217,1471458000000
-0.8169109781383386,-3.0602242407927887,0.016596122647901456,1471492000000
-0.8169109988725466,-3.060224241099297,0.016596123365054217,1471526000000
-0.8169110066572588,-3.0602242411884903,0.016596124200105852,1471560000000
-0.8169110037758831,-3.060224241233894,0.016596125150732825,1471594000000
-0.8169109951812616,-3.0602242410839184,0.016596126148545724,1471628000000
-0.816910981710853,-3.060224240852714,0.01659612720334239,1471662000000
-0.8169109592992834,-3.06022424045459,0.016596128346647587,1471696000000
-0.8169109387380461,-3.060224240154984,0.016596129528427764,1471730000000
