x, y, theta, stamp, 
0.25162607431411743, 0.34792113304138184, 0.6457529067993164, 1709259506016641128, 
0.2545693516731262, 0.3676243722438812, 0.6523261666297913, 1709259506116645762, 
0.2572528123855591, 0.3895469009876251, 0.6610747575759888, 1709259506226757856, 
0.25928157567977905, 0.4096497893333435, 0.6666465401649475, 1709259506326576238, 
0.2610410451889038, 0.42752939462661743, 0.6690583825111389, 1709259506416677606, 
0.26300644874572754, 0.4475426971912384, 0.6708769798278809, 1709259506516600788, 
0.26548078656196594, 0.4693809449672699, 0.6692012548446655, 1709259506626589581, 
0.26821812987327576, 0.488924115896225, 0.6510313749313354, 1709259506726341416, 
0.2712157368659973, 0.5060682892799377, 0.6329659819602966, 1709259506816713415, 
0.2755119800567627, 0.5253481268882751, 0.6240420341491699, 1709259506916592051, 
0.28076672554016113, 0.5453323125839233, 0.6149924397468567, 1709259507026618353, 
0.28619131445884705, 0.5640924572944641, 0.6039705872535706, 1709259507126578354, 
0.2915084958076477, 0.5807097554206848, 0.5928284525871277, 1709259507216667225, 
0.2977360785007477, 0.5993066430091858, 0.5789434313774109, 1709259507316751018, 
0.3055298328399658, 0.6193290948867798, 0.5642374753952026, 1709259507426775899, 
0.31328392028808594, 0.6374291181564331, 0.5508938431739807, 1709259507526582845, 
0.3206592798233032, 0.6531774401664734, 0.538163959980011, 1709259507616687348, 
0.3297172486782074, 0.6708705425262451, 0.5208612084388733, 1709259507716602886, 
0.34006932377815247, 0.6894389390945435, 0.499995619058609, 1709259507826791062, 
0.3503570258617401, 0.7059763669967651, 0.48012953996658325, 1709259507926581020, 
0.3602980673313141, 0.720613956451416, 0.4605453312397003, 1709259508016707376, 
0.3719952404499054, 0.7361271381378174, 0.43701350688934326, 1709259508116606327, 
0.3858824074268341, 0.752922534942627, 0.4084647297859192, 1709259508227012018, 
0.3991023004055023, 0.7669658064842224, 0.38906994462013245, 1709259508326544178, 
0.411685973405838, 0.7791380882263184, 0.3733285963535309, 1709259508416712688, 
0.42638224363327026, 0.792499303817749, 0.3509688675403595, 1709259508516255838, 
0.4430369734764099, 0.8064484596252441, 0.3245006799697876, 1709259508626673123, 
0.45886707305908203, 0.8181188106536865, 0.2996543049812317, 1709259508726594582, 
0.47311949729919434, 0.827781081199646, 0.27477744221687317, 1709259508816716039, 
0.4900175631046295, 0.8379247784614563, 0.2474629133939743, 1709259508917049473, 
0.5094558000564575, 0.8478975892066956, 0.21600715816020966, 1709259509026865351, 
0.5182332396507263, 0.8520516157150269, 0.20055189728736877, 1709259509076341530, 
0.5441190600395203, 0.8621131777763367, 0.17708750069141388, 1709259509216766445, 
0.5661481618881226, 0.8695818185806274, 0.16581878066062927, 1709259509336821454, 
0.583129346370697, 0.8749279379844666, 0.1556614637374878, 1709259509426627163, 
0.6020476818084717, 0.8805256485939026, 0.1417219042778015, 1709259509526596532, 
0.6192317605018616, 0.8849552869796753, 0.12064152956008911, 1709259509616725124, 
